Id,Name,StageName,CloseDate,Amount,AccountId
006Qy000008JaZxIAK,Dickenson Mobile Generators,Qualification,2024-08-10,15000.0,001Qy00000WLWdVIAX
006Qy000008JaZyIAK,Grand Hotels Kitchen Generator,Id. Decision Makers,2024-06-19,15000.0,001Qy00000WLWdWIAX
006Qy000008JaZzIAK,United Oil Refinery Generators,Proposal/Price Quote,2024-09-12,270000.0,001Qy00000WLWdXIAX
006Qy000008Jaa0IAC,United Oil SLA,Closed Won,2024-09-19,120000.0,001Qy00000WLWdXIAX
006Qy000008Jaa1IAC,Edge Emergency Generator,Closed Won,2024-09-27,75000.0,001Qy00000WLWdSIAX
006Qy000008Jaa2IAC,University of AZ Portable Generators,Closed Won,2024-06-28,50000.0,001Qy00000WLY13IAH
006Qy000008Jaa3IAC,United Oil Office Portable Generators,Negotiation/Review,2024-07-29,125000.0,001Qy00000WLWdXIAX
006Qy000008Jaa4IAC,Express Logistics Standby Generator,Closed Won,2024-06-24,220000.0,001Qy00000WLWdYIAX
006Qy000008Jaa5IAC,GenePoint Standby Generator,Closed Won,2024-08-01,85000.0,001Qy00000WLY16IAH
006Qy000008Jaa6IAC,Grand Hotels Guest Portable Generators,Value Proposition,2024-09-27,250000.0,001Qy00000WLWdWIAX
006Qy000008Jaa7IAC,Pyramid Emergency Generators,Prospecting,2024-08-06,100000.0,001Qy00000WLWdUIAX
006Qy000008Jaa8IAC,Express Logistics Portable Truck Generators,Value Proposition,2024-06-22,80000.0,001Qy00000WLWdYIAX
006Qy000008Jaa9IAC,GenePoint Lab Generators,Id. Decision Makers,2024-09-21,60000.0,001Qy00000WLY16IAH
006Qy000008JaaAIAS,GenePoint SLA,Closed Won,2024-09-24,30000.0,001Qy00000WLY16IAH
006Qy000008JaaBIAS,United Oil Installations,Negotiation/Review,2024-07-25,270000.0,001Qy00000WLWdXIAX
006Qy000008JaaCIAS,Edge Installation,Closed Won,2024-07-19,50000.0,001Qy00000WLWdSIAX
006Qy000008JaaDIAS,Edge SLA,Closed Won,2024-06-14,60000.0,001Qy00000WLWdSIAX
006Qy000008JaaEIAS,United Oil Installations,Closed Won,2024-07-24,270000.0,001Qy00000WLWdXIAX
006Qy000008JaaFIAS,Grand Hotels Generator Installations,Closed Won,2024-09-10,350000.0,001Qy00000WLWdWIAX
006Qy000008JaaGIAS,United Oil Refinery Generators,Closed Won,2024-09-05,915000.0,001Qy00000WLWdXIAX
006Qy000008JaaHIAS,University of AZ Installations,Proposal/Price Quote,2024-06-25,100000.0,001Qy00000WLY13IAH
006Qy000008JaaIIAS,Express Logistics SLA,Perception Analysis,2024-06-23,120000.0,001Qy00000WLWdYIAX
006Qy000008JaaJIAS,University of AZ SLA,Closed Won,2024-07-02,90000.0,001Qy00000WLY13IAH
006Qy000008JaaKIAS,Burlington Textiles Weaving Plant Generator,Closed Won,2024-08-03,235000.0,001Qy00000WLWdTIAX
006Qy000008JaaLIAS,United Oil Installations,Closed Won,2024-08-05,235000.0,001Qy00000WLWdXIAX
006Qy000008JaaMIAS,United Oil Emergency Generators,Closed Won,2024-07-18,440000.0,001Qy00000WLWdXIAX
006Qy000008JaaNIAS,Grand Hotels SLA,Closed Won,2024-06-21,90000.0,001Qy00000WLWdWIAX
006Qy000008JaaOIAS,United Oil Standby Generators,Closed Won,2024-09-20,120000.0,001Qy00000WLWdXIAX
006Qy000008JaaPIAS,Grand Hotels Emergency Generators,Closed Won,2024-09-08,210000.0,001Qy00000WLWdWIAX
006Qy000008JaaQIAS,United Oil Plant Standby Generators,Needs Analysis,2024-08-22,675000.0,001Qy00000WLWdXIAX
006Qy000008JaaRIAS,Edge Emergency Generator,Id. Decision Makers,2024-10-03,35000.0,001Qy00000WLWdSIAX
006Qy000008UttiIAC,Sample Opportunity,Prospecting,2024-12-31,,001Qy00000XNQdDIAX
